model,language,roi_name,roi_family,mean_z_raw,mean_z_shared,mean_z_specific,mean_z_mismatched,delta_shared_specific,p_perm,q_fdr,n_subjects
xlmr,en,L_Heschl,auditory,0.13077619683522618,0.13001778130721564,0.05498544020614694,0.09188473728992701,0.07503234110106868,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,L_aSTG,auditory,0.0945276811164757,0.09673437571511288,0.042623088672422225,0.03850112044209655,0.054111287042690644,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,L_pSTG,auditory,0.13523337859356926,0.135798367893475,0.0717353879035886,0.03882098302618428,0.06406297998988641,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,R_Heschl,auditory,0.10834026346805893,0.10020590461599815,0.038821961681038755,0.06982207805851824,0.061383942934959426,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,R_aSTG,auditory,0.10171697699729682,0.10391542826161206,0.04727014838641005,0.05279168600914263,0.05664527987520198,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,R_pSTG,auditory,0.15849306153306217,0.15840692341356827,0.0816828247295138,0.07861044540160772,0.07672409868405444,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,L_OccipitalPole,control,0.038285405474896776,0.04257699840966156,0.010172924323141836,0.007050019354490991,0.03240407408651972,0.0017998200179982,0.002024797520247975,31
xlmr,en,L_Precentral,control,0.011653174416553159,0.021916926731685445,-7.057389860982842e-05,-0.0015869703872428218,0.02198750063029528,0.0023997600239976003,0.0025409223783504,31
xlmr,en,R_OccipitalPole,control,0.03435922434410354,0.03598722297755575,0.012230821443175798,0.0030104222033836693,0.023756401534379957,0.0029997000299970002,0.0029997000299970002,31
xlmr,en,R_Precentral,control,0.013184422764909727,0.02094268671513056,-0.0014011113444727876,-0.01081288800048377,0.022343798059603345,0.0017998200179982,0.002024797520247975,31
xlmr,en,L_AG,semantic,0.07171975969850217,0.0866692921327887,0.03085812021788306,-0.006703280436596176,0.055811171914905616,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,L_IFGtri,semantic,0.12858473582356297,0.13142799329851063,0.05817858511851409,-0.0025027851683825917,0.07324940817999652,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,L_TemporalPole,semantic,0.08878256221233417,0.09398017774325908,0.04306070304267894,0.00713315019444967,0.0509194747005801,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,L_pMTG,semantic,0.10386183941180256,0.11190366623715814,0.039916845762365774,-0.004796437582753195,0.07198682047479238,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,R_AG,semantic,0.11844436366687468,0.12439654321759025,0.04575810833633733,-0.006321909774519075,0.07863843488125291,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,R_IFGtri,semantic,0.1071579630624226,0.09636955260235329,0.04929519964760311,-0.0031163703996497606,0.047074352954750175,0.00019998000199980003,0.0002571171454283143,31
xlmr,en,R_TemporalPole,semantic,0.05829338053486165,0.07323397368566378,0.019512365249091532,0.007449931016671547,0.05372160843657227,9.999000099990002e-05,0.00013844769369216926,31
xlmr,en,R_pMTG,semantic,0.08242150591797054,0.08658991733607191,0.031000952485816517,0.00688876898415403,0.05558896485025538,9.999000099990002e-05,0.00013844769369216926,31
xlmr,fr,L_Heschl,auditory,0.1157642524894311,0.12627496262276613,0.056171941336837464,0.055283907256286305,0.07010302128592864,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,L_aSTG,auditory,0.10005163005881246,0.11279451077786158,0.044675597319393925,0.04138284545313552,0.06811891345846763,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,L_pSTG,auditory,0.1263974931838002,0.1451029508970161,0.04768527528357926,0.05942857386382826,0.09741767561343688,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,R_Heschl,auditory,0.09412067988507221,0.10367977151472645,0.03965558434078294,0.03961885583111173,0.06402418717394351,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,R_aSTG,auditory,0.0951996318050771,0.11909225625782975,0.03787980949251413,0.05227985765592713,0.08121244676531567,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,R_pSTG,auditory,0.1394064598675475,0.165441124353672,0.05581493320426354,0.07548675314814031,0.10962619114940844,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,L_OccipitalPole,control,0.019513642038423224,0.020958907674322867,0.010689496475637519,-0.001810014749034307,0.010269411198685354,0.128987101289871,0.13657457783633403,28
xlmr,fr,L_Precentral,control,0.024267839419353114,0.021149440038437026,0.006304852783086664,0.004434850711871264,0.014844587255350362,0.026697330266973303,0.030034496550344965,28
xlmr,fr,R_OccipitalPole,control,0.030218017240054306,0.029765592094141667,0.010250850485879917,0.0077447691865382955,0.019514741608261752,0.0207979202079792,0.024957504249575043,28
xlmr,fr,R_Precentral,control,0.017319437958524943,0.010194590232007398,0.001862848497003133,0.004467688485585655,0.008331741735004262,0.1503849615038496,0.1503849615038496,28
xlmr,fr,L_AG,semantic,0.06009462467275022,0.06934799299521714,0.0257161739520673,0.015293407879277464,0.04363181904314983,0.00019998000199980003,0.0002571171454283143,28
xlmr,fr,L_IFGtri,semantic,0.0905305002965071,0.10305158991154609,0.029721575777038316,0.02063395933877951,0.07333001413450776,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,L_TemporalPole,semantic,0.06897890299648614,0.09020624347865246,0.023751475836852626,0.010741797730780251,0.06645476764179986,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,L_pMTG,semantic,0.07223617772324177,0.08368697276469302,0.029047360609575645,0.014510309615991404,0.05463961215511737,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,R_AG,semantic,0.08535976758277508,0.0931431682006316,0.04091139841570158,0.015385913039150838,0.05223176978492999,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,R_IFGtri,semantic,0.08567056501960238,0.10713518895998035,0.03125817149396616,0.00507530167908071,0.07587701746601416,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,R_TemporalPole,semantic,0.0656348499094019,0.07972532544990743,0.028313158275273274,0.012774156878175489,0.051412167174634184,9.999000099990002e-05,0.00013844769369216926,28
xlmr,fr,R_pMTG,semantic,0.06376067569936923,0.07537126451447138,0.02146195080950386,0.006410990975812705,0.05390931370496752,9.999000099990002e-05,0.00013844769369216926,28
xlmr,zh,L_Heschl,auditory,0.07045455378837125,0.05805859261506741,0.043122480662936155,0.025351863900945716,0.014936111952131254,0.0014998500149985001,0.0020767154053825385,35
xlmr,zh,L_aSTG,auditory,0.10149627667368961,0.0822633818163357,0.0510412553141237,0.01911250129178265,0.031222126502212028,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,L_pSTG,auditory,0.13893857032536058,0.12632095136379162,0.08466307345550879,0.016050606256227295,0.041657877908282834,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,R_Heschl,auditory,0.04929035502433122,0.04422183829406064,0.030678333911836685,0.020933632637054625,0.013543504382223953,0.012398760123987601,0.014878512148785123,35
xlmr,zh,R_aSTG,auditory,0.12212980172783026,0.10837260401335466,0.06761912558318656,0.0236543300259028,0.040753478430168105,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,R_pSTG,auditory,0.16516627128966477,0.14671937972378502,0.10223861532459239,0.03224547697049675,0.044480764399192615,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,L_OccipitalPole,control,0.020649930820489732,0.013623660665812939,0.014026514206831181,-0.0010211247331609235,-0.00040285354101824035,0.5148485151484852,0.5148485151484852,35
xlmr,zh,L_Precentral,control,0.023863393484095625,0.02236003250529985,0.005715518541497786,0.004761874697357667,0.016644513963802062,0.0072992700729927005,0.009384775808133473,35
xlmr,zh,R_OccipitalPole,control,0.01792000472972846,0.013545299496717582,0.012462458336245312,0.0013738676099500555,0.0010828411604722698,0.4487551244875512,0.4751524847515249,35
xlmr,zh,R_Precentral,control,0.019125314180036976,0.02035157389995445,0.01049209044795745,0.009179469104900473,0.009859483451997,0.07539246075392461,0.08481651834816518,35
xlmr,zh,L_AG,semantic,0.0780065742634249,0.06335571720180583,0.0376983037133203,-0.00305694249304389,0.025657413488485534,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,L_IFGtri,semantic,0.08891325236813102,0.08584316368867509,0.042410998088985,-0.0012919298329034507,0.04343216559969008,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,L_TemporalPole,semantic,0.10668426729195794,0.09900153505618836,0.06617980429837496,-0.004986464039356361,0.032821730757813396,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,L_pMTG,semantic,0.0869019398001831,0.08031291925736883,0.056770417199883405,-0.005157538547441684,0.02354250205748545,0.00019998000199980003,0.00032724000327240006,35
xlmr,zh,R_AG,semantic,0.07847108751030972,0.07729007185781554,0.03158513856216685,0.0013843765900891539,0.045704933295648696,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,R_IFGtri,semantic,0.09397694640143142,0.08902487889671742,0.05600724138084218,0.0009134717381116659,0.03301763751587524,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,R_TemporalPole,semantic,0.09811515987763382,0.0926147875696056,0.06012590287347751,-0.003598277704134116,0.03248888469612809,9.999000099990002e-05,0.00017998200179982003,35
xlmr,zh,R_pMTG,semantic,0.08487655627134424,0.07227764313214637,0.04941966372546248,-0.0024992727142943414,0.0228579794066839,0.000999900009999,0.0014998500149985001,35
nllb_encoder,en,L_Heschl,auditory,0.13862195160658164,0.1385416458641641,0.0926456346523514,0.07109283902581816,0.04589601121181273,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,L_aSTG,auditory,0.09799049081694321,0.10713745677238704,0.05792967143582663,0.026953523593513218,0.049207785336560415,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,L_pSTG,auditory,0.1360445337898579,0.1396532156357008,0.08396147637104209,0.02843508960157353,0.055691739264658736,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_Heschl,auditory,0.11221652911660526,0.10926632615556355,0.07260772526739506,0.047606121249742096,0.0366586008881685,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_aSTG,auditory,0.10885101389394478,0.10737518770727389,0.06741433801498771,0.04069457036167055,0.03996084969228616,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_pSTG,auditory,0.16620415264178728,0.16373088959220894,0.10681192904151919,0.06446698983012948,0.05691896055068977,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,L_OccipitalPole,control,0.020815182135195003,0.033295392262399595,0.00022628766213406102,-0.0038580614323282577,0.03306910460026555,0.00029997000299970003,0.00035996400359964,31
nllb_encoder,en,L_Precentral,control,0.021200779565454433,0.021839830363939456,0.011163329792694947,-0.005291067087916558,0.010676500571244505,0.068993100689931,0.07305151837757401,31
nllb_encoder,en,R_OccipitalPole,control,0.019200821480319444,0.028214118680740315,0.008954761840202989,-0.001496167774652927,0.019259356840537332,0.0014998500149985001,0.0016873312668733125,31
nllb_encoder,en,R_Precentral,control,0.015017788724931265,0.012273232250264672,0.004598489573804535,-0.013030825347621995,0.00767474267646014,0.1533846615338466,0.1533846615338466,31
nllb_encoder,en,L_AG,semantic,0.08046461007725679,0.08367196088705713,0.04260811142979153,-0.009404439829641264,0.04106384945726557,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,L_IFGtri,semantic,0.1234153342457248,0.13027084231925531,0.08145512879158769,-0.0009836505588585265,0.04881571352766762,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,L_TemporalPole,semantic,0.08834463958391184,0.0902997704320959,0.05642277472058738,0.005780635213154312,0.03387699571150852,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,L_pMTG,semantic,0.09868941562714406,0.10282551780589035,0.055409727004476286,0.0010801284720638464,0.04741579080141408,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_AG,semantic,0.12890447469905622,0.12037662855265155,0.07089204079581342,-0.003615921159349261,0.04948458775683812,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_IFGtri,semantic,0.10968806029629793,0.1034487196967549,0.06796746783414111,-0.0035198100196834007,0.03548125186261379,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_TemporalPole,semantic,0.06992797866013052,0.0784183838431839,0.03834240539292509,-0.0023591712223986895,0.040075978450258815,9.999000099990002e-05,0.00013844769369216926,31
nllb_encoder,en,R_pMTG,semantic,0.09686718728897538,0.09182744648301151,0.05641504042551455,0.0015984334595704765,0.035412406057496966,0.00019998000199980003,0.0002571171454283143,31
nllb_encoder,fr,L_Heschl,auditory,0.11708087286642177,0.12636129209955108,0.08198055941335892,0.048717785020223385,0.04438073268619213,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,L_aSTG,auditory,0.09984519610145327,0.11067005146983269,0.06643346131769864,0.02933220454008833,0.04423659015213408,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,L_pSTG,auditory,0.12480069825578281,0.13620293414165677,0.07494552535636098,0.05064721544412382,0.06125740878529575,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,R_Heschl,auditory,0.09482279627928081,0.0967638497740426,0.06449881648652393,0.037501730396949394,0.032265033287518674,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,R_aSTG,auditory,0.0988441994235132,0.11589213583940461,0.0682562267770144,0.0454601571350086,0.04763590906239022,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,R_pSTG,auditory,0.14194319697546118,0.16158192977643374,0.08967665270826845,0.06841046952981249,0.07190527706816525,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,L_OccipitalPole,control,0.01801756960890002,0.02471628688948219,0.013998877679333466,-0.0035155247066118588,0.010717409210148729,0.1294870512948705,0.137103936665157,28
nllb_encoder,fr,L_Precentral,control,0.016001492547559174,0.0202613631507096,0.011399902946915882,0.002620718111301129,0.00886146020379372,0.18838116188381163,0.18838116188381163,28
nllb_encoder,fr,R_OccipitalPole,control,0.02223744927051464,0.032485727636682345,0.013377814876133775,-0.0022439031810199592,0.01910791276054858,0.021497850214978503,0.025797420257974202,28
nllb_encoder,fr,R_Precentral,control,0.00823636253098804,0.015930455763698427,0.003226082722346743,-0.0022980096202324185,0.01270437304135168,0.054894510548945105,0.061756324367563245,28
nllb_encoder,fr,L_AG,semantic,0.059337759298257804,0.05793121149075849,0.03389942766567804,0.01034310426420885,0.024031783825080456,0.0028997100289971,0.003728198608710557,28
nllb_encoder,fr,L_IFGtri,semantic,0.08799644375293883,0.09311704397894952,0.04455991182415077,0.011226038554755997,0.04855713215479874,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,L_TemporalPole,semantic,0.06146202030448434,0.07884630649220184,0.03289099923208136,0.008859779808860409,0.045955307260120475,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,L_pMTG,semantic,0.06295906714864506,0.06744262747322462,0.03739839123836005,0.011590722709206634,0.030044236234864574,0.00029997000299970003,0.00041534308107650774,28
nllb_encoder,fr,R_AG,semantic,0.08802752823605584,0.09922271634159877,0.049691169386153825,0.014807446235395368,0.04953154695544494,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,R_IFGtri,semantic,0.08063327633144858,0.10283970867616953,0.0330487024466486,0.008312279218814176,0.06979100622952092,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,fr,R_TemporalPole,semantic,0.0672292912195818,0.07975947314568507,0.039644141640332385,0.01438080988856207,0.04011533150535268,0.00019998000199980003,0.00029997000299970003,28
nllb_encoder,fr,R_pMTG,semantic,0.07143325257537854,0.07938560426377486,0.044500759350318705,0.00344464319665076,0.03488484491345616,9.999000099990002e-05,0.00016362000163620003,28
nllb_encoder,zh,L_Heschl,auditory,0.05982650779535202,0.048386662304568784,0.03908653376792481,0.03069542420570572,0.00930012853664398,0.030896910308969103,0.0427803373508803,35
nllb_encoder,zh,L_aSTG,auditory,0.09452100961649379,0.07711351944409947,0.05927139571998651,0.014482277541629627,0.01784212372411296,0.0034996500349965005,0.0080991900809919,35
nllb_encoder,zh,L_pSTG,auditory,0.13376293160749278,0.11477629032615079,0.09652016559685273,0.008683598042857905,0.018256124729298072,0.0016998300169983002,0.006119388061193881,35
nllb_encoder,zh,R_Heschl,auditory,0.046344148698254525,0.03578121246044615,0.03108676795709614,0.024514585742596545,0.004694444503350014,0.22977702229777022,0.2584991500849915,35
nllb_encoder,zh,R_aSTG,auditory,0.12291483512014441,0.10384493261647068,0.0917434085926205,0.025659976017030187,0.012101524023850157,0.0156984301569843,0.02354764523547645,35
nllb_encoder,zh,R_pSTG,auditory,0.16310080048373515,0.13693163882826542,0.12416172912065959,0.031102163405886778,0.012769909707605828,0.009099090090990901,0.014889420148894201,35
nllb_encoder,zh,L_OccipitalPole,control,0.023059335397956113,0.014707673993378705,0.011357746133461404,-0.005522150889583619,0.003349927859917301,0.29627037296270375,0.3136980419605098,35
nllb_encoder,zh,L_Precentral,control,0.026986134832858655,0.027078458151832872,0.01307356003210962,0.00695135331402817,0.014004898119723249,0.03849615038496151,0.04949505049495051,35
nllb_encoder,zh,R_OccipitalPole,control,0.014824315195563107,0.013663340974895957,0.008454549374074695,-0.0025393567730454757,0.005208791600821261,0.21077892210778923,0.2529347065293471,35
nllb_encoder,zh,R_Precentral,control,0.024731206602243188,0.022093697245209043,0.01928494741147372,0.008066926678456234,0.0028087498337353222,0.35096490350964904,0.35096490350964904,35
nllb_encoder,zh,L_AG,semantic,0.0728560110491943,0.06401495470704122,0.051707471585007644,-0.007923616275476395,0.012307483122033567,0.0053994600539946005,0.010798920107989201,35
nllb_encoder,zh,L_IFGtri,semantic,0.08656090069031838,0.0806025651509347,0.055851672686420314,-0.0042333584284664,0.024750892464514396,9.999000099990002e-05,0.0008999100089991002,35
nllb_encoder,zh,L_TemporalPole,semantic,0.0951228503204349,0.0952676496820552,0.07415965132947376,-0.00777583909464572,0.02110799835258143,0.0035996400359964,0.0080991900809919,35
nllb_encoder,zh,L_pMTG,semantic,0.0753446496045938,0.07535864259107916,0.0580076138821651,-0.006848349815325593,0.017351028708914064,9.999000099990002e-05,0.0008999100089991002,35
nllb_encoder,zh,R_AG,semantic,0.0779221418013096,0.07687445247036692,0.04817531670943753,0.0009706472828686311,0.028699135760929403,0.00019998000199980003,0.0011998800119988001,35
nllb_encoder,zh,R_IFGtri,semantic,0.10070502879323513,0.08946931017608294,0.07271920709610341,0.005696902372085838,0.01675010307997953,0.0024997500249975004,0.007499250074992501,35
nllb_encoder,zh,R_TemporalPole,semantic,0.10009958526910548,0.09524494017111551,0.07825268075558699,0.00064229890286012,0.016992259415528524,0.006299370062993701,0.01133886611338866,35
nllb_encoder,zh,R_pMTG,semantic,0.08076832314512336,0.0758493891139685,0.058999742345129697,0.0021731711363086994,0.01684964676883882,0.0014998500149985001,0.006119388061193881,35
